year,image_type,field_name,type
1960,short,first_name,char
1960,short,middle_init,char
1960,short,last_name,char
1960,short,suffix,char
1960,short,page_no,char
1960,short,line_no,int
1960,short,sample_key_gq,radio
1960,short,race_writein,char
1960,sheet,num_records,int
1960,sheet,sample_key_one,radio
1960,sheet,sample_key_two,radio
1960,sheet,sample_key_three,radio
1960,sheet,sample_key_four,radio
1960,sheet,address_one,char
1960,sheet,address_two,char
1960,sheet,house_number_one,char
1960,sheet,house_number_two,char
1960,sheet,house_number_three,char
1960,sheet,house_number_four,char
1960,sheet,apt_number_one,char
1960,sheet,apt_number_two,char
1960,sheet,apt_number_three,char
1960,sheet,apt_number_four,char
1960,sheet,hard_to_read,char
1960,breaker,enumeration_district,char
1970,sheet,num_records,int
1970,short,line_no,char
1970,short,first_name,char
1970,short,middle_init,char
1970,short,last_name,char
1970,short,suffix,char
1970,short,age,char
1970,short,serial_no_1,radio
1970,short,serial_no_2,radio
1970,short,serial_no_3,radio
1970,short,block_1,radio
1970,short,block_2,radio
1970,short,block_3,radio
1970,breaker,county,char
1970,breaker,enumeration_district,char
1980,sheet,num_records,int
1980,short,first_name,char
1980,short,middle_init,char
1980,short,last_name,char
1980,short,suffix,char
1980,short,age,char
1980,short,serial_no_1,radio
1980,short,serial_no_2,radio
1980,short,serial_no_3,radio
1980,short,serial_no_4,radio
1980,short,serial_no,char
1980,short,block,char
1980,short,block_1,radio
1980,short,block_2,radio
1980,short,block_3,radio
1980,short,col_no,int
1980,short,total_persons,char
1980,breaker,county,char
1980,breaker,mcd,char
1980,breaker,tract,char
1980,breaker,place,char
1980,breaker,smsa,char
1980,breaker,enumeration_district,char
1990,sheet,num_records,int
1990,short,first_name,char
1990,short,middle_init,char
1990,short,last_name,char
1990,short,suffix,char
1990,short,serial_no,char
1990,short,age,char
1990,short,total_persons,char
1990,short,col_no,int
1990,short,serial_no_1,radio
1990,short,serial_no_2,radio
1990,short,serial_no_3,radio
1990,short,serial_no_4,radio
1990,short,serial_no_5,radio
1990,short,serial_no_6,radio
1990,short,serial_no_7,radio
1990,short,serial_no_8,radio
1990,short,serial_no_9,radio
1990,short,serial_no_10,radio
1990,short,serial_no_11,radio
1990,long,employer,char
1990,long,industry,char
1990,long,industry_category,radio
1990,long,occupation,char
1990,long,occupation_detail,char
1970,short,relp_writein,char
1970,short,race_writein,char
1980,short,relp_writein,char
1980,short,race_writein,char
1990,short,relp_writein,char
1990,short,race_writein,char
1990,short,tribe_writein,char
